ts,platform,zone_id,city,tier,address,product_id,merchant,subtotal,delivery_fee,service_fee,eta_min,error,__source_file,lat,lon
2026-05-08 14:27:00,didi,cdmx_polanco,CDMX,alto_alta,"Av. Presidente Masaryk 201, Polanco, Miguel Hidalgo, 11560 CDMX",big_mac,McDonald's,125.0,15.0,8.75,,,didi_20260508_1425.json,19.431955800410194,-99.18987287451621
2026-05-08 14:28:00,didi,cdmx_polanco,CDMX,alto_alta,"Av. Presidente Masaryk 201, Polanco, Miguel Hidalgo, 11560 CDMX",boneless_bites,Subway,81.0,12.0,6.0,,,didi_20260508_1425.json,19.431955800410194,-99.18987287451621
2026-05-08 14:29:00,didi,cdmx_polanco,CDMX,alto_alta,"Av. Presidente Masaryk 201, Polanco, Miguel Hidalgo, 11560 CDMX",queso_caesars,Little Caesars,129.0,15.0,9.03,,,didi_20260508_1425.json,19.431955800410194,-99.18987287451621
2026-05-08 14:32:00,didi,cdmx_lomas,CDMX,alto_baja,"Av. Reforma 1500, Lomas de Chapultepec, Miguel Hidalgo, 11000 CDMX",big_mac,McDonald's,125.0,18.0,8.75,,,didi_20260508_1425.json,19.415490137608266,-99.21901146102469
2026-05-08 14:33:00,didi,cdmx_lomas,CDMX,alto_baja,"Av. Reforma 1500, Lomas de Chapultepec, Miguel Hidalgo, 11000 CDMX",boneless_bites,Subway,81.0,18.0,6.0,,,didi_20260508_1425.json,19.415490137608266,-99.21901146102469
2026-05-08 14:36:00,didi,cdmx_iztapalapa,CDMX,bajo_alta,"Av. Ermita Iztapalapa 2000, Iztapalapa, 09000 CDMX",big_mac,McDonald's,125.0,12.0,8.75,,,didi_20260508_1425.json,19.3618464,-99.0007872
2026-05-08 14:38:00,didi,cdmx_iztapalapa,CDMX,bajo_alta,"Av. Ermita Iztapalapa 2000, Iztapalapa, 09000 CDMX",queso_caesars,Little Caesars,129.0,12.0,9.03,,,didi_20260508_1425.json,19.3618464,-99.0007872
2026-05-08 14:45:00,didi,mty_san_jeronimo,Monterrey,alto_alta,"Av. San Jeronimo 1000, San Jeronimo, Monterrey, 64640 NL",big_mac,McDonald's,145.0,12.0,10.15,,,didi_20260508_1425.json,25.67485070767507,-100.3593899743953
2026-05-08 14:46:00,didi,mty_san_jeronimo,Monterrey,alto_alta,"Av. San Jeronimo 1000, San Jeronimo, Monterrey, 64640 NL",boneless_bites,Subway,81.0,12.0,6.0,,,didi_20260508_1425.json,25.67485070767507,-100.3593899743953
2026-05-08 14:47:00,didi,mty_san_jeronimo,Monterrey,alto_alta,"Av. San Jeronimo 1000, San Jeronimo, Monterrey, 64640 NL",queso_caesars,Little Caesars,129.0,18.0,9.03,,,didi_20260508_1425.json,25.67485070767507,-100.3593899743953
2026-05-08 15:04:00,didi,mty_valle_alto,Monterrey,alto,"Av. Valle Alto 1000, Valle Alto, Monterrey, 64750 NL",big_mac,McDonald's,125.0,14.0,8.75,,,didi_20260508_1502.json,25.583280385997284,-100.25716136090557
2026-05-08 15:11:00,didi,mty_lincoln,Monterrey,medio,"Av. Lincoln 4500, Lincoln, Monterrey, 64310 NL",big_mac,McDonald's,139.0,15.0,9.73,,,didi_20260508_1502.json,25.719978390647828,-100.35891218788616
2026-05-08 15:12:00,didi,mty_lincoln,Monterrey,medio,"Av. Lincoln 4500, Lincoln, Monterrey, 64310 NL",boneless_bites,Subway,90.0,15.0,6.3,,,didi_20260508_1502.json,25.719978390647828,-100.35891218788616
2026-05-08 15:14:00,didi,mty_lincoln,Monterrey,medio,"Av. Lincoln 4500, Lincoln, Monterrey, 64310 NL",queso_caesars,Little Caesars,129.0,15.0,9.03,,,didi_20260508_1502.json,25.719978390647828,-100.35891218788616
2026-05-08 15:19:00,didi,pue_angeles,Puebla,alto,"Av. Juarez 2300, La Paz, Puebla, 72160 PUE",big_mac,McDonald's,129.0,25.0,9.03,,,didi_20260508_1502.json,19.0504764,-98.2171552
2026-05-08 15:20:00,didi,pue_angeles,Puebla,alto,"Av. Juarez 2300, La Paz, Puebla, 72160 PUE",boneless_bites,Subway,81.0,11.0,6.0,,,didi_20260508_1502.json,19.0504764,-98.2171552
2026-05-08 15:27:00,didi,pue_san_manuel,Puebla,medio,"Av. San Manuel 100, San Manuel, Puebla, 72570 PUE",big_mac,McDonald's,129.0,14.0,9.03,,,didi_20260508_1502.json,19.011325623475418,-98.19995669336421
2026-05-08 14:26:00,rappi,cdmx_polanco,CDMX,alto_alta,"Av. Presidente Masaryk 201, Polanco, Miguel Hidalgo, 11560 CDMX",big_mac,McDonald's,125.0,15.0,10.0,36.0,,rappi_20260508_1425.json,19.431955800410194,-99.18987287451621
2026-05-08 14:27:00,rappi,cdmx_polanco,CDMX,alto_alta,"Av. Presidente Masaryk 201, Polanco, Miguel Hidalgo, 11560 CDMX",boneless_bites,Subway,95.0,15.0,5.0,38.0,,rappi_20260508_1425.json,19.431955800410194,-99.18987287451621
2026-05-08 14:28:00,rappi,cdmx_polanco,CDMX,alto_alta,"Av. Presidente Masaryk 201, Polanco, Miguel Hidalgo, 11560 CDMX",queso_caesars,Little Caesars,129.0,15.0,10.0,63.0,,rappi_20260508_1425.json,19.431955800410194,-99.18987287451621
2026-05-08 14:33:00,rappi,cdmx_lomas,CDMX,alto_baja,"Av. Reforma 1500, Lomas de Chapultepec, Miguel Hidalgo, 11000 CDMX",queso_caesars,Little Caesars,129.0,30.0,10.0,85.0,,rappi_20260508_1425.json,19.415490137608266,-99.21901146102469
2026-05-08 14:35:00,rappi,cdmx_iztapalapa,CDMX,bajo_alta,"Av. Ermita Iztapalapa 2000, Iztapalapa, 09000 CDMX",big_mac,McDonald's,125.0,10.0,10.0,36.0,,rappi_20260508_1425.json,19.3618464,-99.0007872
2026-05-08 14:37:00,rappi,cdmx_iztapalapa,CDMX,bajo_alta,"Av. Ermita Iztapalapa 2000, Iztapalapa, 09000 CDMX",queso_caesars,Little Caesars,129.0,10.0,10.0,32.0,,rappi_20260508_1425.json,19.3618464,-99.0007872
2026-05-08 14:43:00,rappi,mty_san_jeronimo,Monterrey,alto_alta,"Av. San Jeronimo 1000, San Jeronimo, Monterrey, 64640 NL",boneless_bites,Subway,71.0,10.0,5.0,36.0,,rappi_20260508_1425.json,25.67485070767507,-100.3593899743953
2026-05-08 14:44:00,rappi,mty_san_jeronimo,Monterrey,alto_alta,"Av. San Jeronimo 1000, San Jeronimo, Monterrey, 64640 NL",queso_caesars,Little Caesars,129.0,10.0,10.0,36.0,,rappi_20260508_1425.json,25.67485070767507,-100.3593899743953
2026-05-08 14:46:00,rappi,mty_valle_alto,Monterrey,alto_baja,"Carr. Nacional Km 263, Valle Alto, San Pedro Garza Garcia, 66290 NL",big_mac,McDonald's,125.0,10.0,8.9,32.0,,rappi_20260508_1425.json,25.53827745599612,-100.21929484741474
2026-05-08 14:47:00,rappi,mty_valle_alto,Monterrey,alto_baja,"Carr. Nacional Km 263, Valle Alto, San Pedro Garza Garcia, 66290 NL",boneless_bites,Subway,89.0,10.0,8.9,36.0,,rappi_20260508_1425.json,25.53827745599612,-100.21929484741474
2026-05-08 14:49:00,rappi,mty_valle_alto,Monterrey,alto_baja,"Carr. Nacional Km 263, Valle Alto, San Pedro Garza Garcia, 66290 NL",queso_caesars,Little Caesars,129.0,10.0,8.9,32.0,,rappi_20260508_1425.json,25.53827745599612,-100.21929484741474
2026-05-08 15:02:00,rappi,mty_valle_alto,Monterrey,alto,"Av. Valle Alto 1000, Valle Alto, Monterrey, 64750 NL",big_mac,McDonald's,125.0,10.0,8.9,32.0,,rappi_20260508_1502.json,25.583280385997284,-100.25716136090557
2026-05-08 15:04:00,rappi,mty_valle_alto,Monterrey,alto,"Av. Valle Alto 1000, Valle Alto, Monterrey, 64750 NL",boneless_bites,Subway,89.0,10.0,8.9,36.0,,rappi_20260508_1502.json,25.583280385997284,-100.25716136090557
2026-05-08 15:05:00,rappi,mty_valle_alto,Monterrey,alto,"Av. Valle Alto 1000, Valle Alto, Monterrey, 64750 NL",queso_caesars,Little Caesars,129.0,10.0,8.9,32.0,,rappi_20260508_1502.json,25.583280385997284,-100.25716136090557
2026-05-08 15:09:00,rappi,mty_lincoln,Monterrey,medio,"Av. Lincoln 4500, Lincoln, Monterrey, 64310 NL",big_mac,McDonald's,139.0,15.0,12.9,36.0,,rappi_20260508_1502.json,25.719978390647828,-100.35891218788616
2026-05-08 15:11:00,rappi,mty_lincoln,Monterrey,medio,"Av. Lincoln 4500, Lincoln, Monterrey, 64310 NL",boneless_bites,Subway,89.0,15.0,12.9,34.0,,rappi_20260508_1502.json,25.719978390647828,-100.35891218788616
2026-05-08 15:13:00,rappi,mty_lincoln,Monterrey,medio,"Av. Lincoln 4500, Lincoln, Monterrey, 64310 NL",queso_caesars,Little Caesars,129.0,15.0,12.9,34.0,,rappi_20260508_1502.json,25.719978390647828,-100.35891218788616
2026-05-08 15:17:00,rappi,pue_angeles,Puebla,alto,"Av. Juarez 2300, La Paz, Puebla, 72160 PUE",big_mac,McDonald's,129.0,15.0,10.0,43.0,,rappi_20260508_1502.json,19.0504764,-98.2171552
2026-05-08 14:26:00,uber,cdmx_polanco,CDMX,alto_alta,"Av. Presidente Masaryk 201, Polanco, Miguel Hidalgo, 11560 CDMX",big_mac,McDonald's,125.0,34.0,8.75,,,uber_20260508_1425.json,19.431955800410194,-99.18987287451621
2026-05-08 14:27:00,uber,cdmx_polanco,CDMX,alto_alta,"Av. Presidente Masaryk 201, Polanco, Miguel Hidalgo, 11560 CDMX",boneless_bites,Subway,74.0,37.0,9.43,,,uber_20260508_1425.json,19.431955800410194,-99.18987287451621
2026-05-08 14:28:00,uber,cdmx_polanco,CDMX,alto_alta,"Av. Presidente Masaryk 201, Polanco, Miguel Hidalgo, 11560 CDMX",queso_caesars,Little Caesars,129.0,35.0,9.03,,,uber_20260508_1425.json,19.431955800410194,-99.18987287451621
2026-05-08 14:31:00,uber,cdmx_lomas,CDMX,alto_baja,"Av. Reforma 1500, Lomas de Chapultepec, Miguel Hidalgo, 11000 CDMX",big_mac,McDonald's,125.0,36.0,8.75,,,uber_20260508_1425.json,19.415490137608266,-99.21901146102469
2026-05-08 14:32:00,uber,cdmx_lomas,CDMX,alto_baja,"Av. Reforma 1500, Lomas de Chapultepec, Miguel Hidalgo, 11000 CDMX",boneless_bites,Subway,78.0,39.0,7.95,,,uber_20260508_1425.json,19.415490137608266,-99.21901146102469
2026-05-08 14:33:00,uber,cdmx_lomas,CDMX,alto_baja,"Av. Reforma 1500, Lomas de Chapultepec, Miguel Hidalgo, 11000 CDMX",queso_caesars,Little Caesars,129.0,39.0,9.03,,,uber_20260508_1425.json,19.415490137608266,-99.21901146102469
2026-05-08 14:36:00,uber,cdmx_iztapalapa,CDMX,bajo_alta,"Av. Ermita Iztapalapa 2000, Iztapalapa, 09000 CDMX",big_mac,McDonald's,125.0,23.0,8.75,,,uber_20260508_1425.json,19.3618464,-99.0007872
2026-05-08 14:37:00,uber,cdmx_iztapalapa,CDMX,bajo_alta,"Av. Ermita Iztapalapa 2000, Iztapalapa, 09000 CDMX",boneless_bites,Subway,81.0,,,,,uber_20260508_1425.json,19.3618464,-99.0007872
2026-05-08 14:38:00,uber,cdmx_iztapalapa,CDMX,bajo_alta,"Av. Ermita Iztapalapa 2000, Iztapalapa, 09000 CDMX",queso_caesars,Little Caesars,129.0,,,,,uber_20260508_1425.json,19.3618464,-99.0007872
2026-05-08 14:45:00,uber,mty_san_jeronimo,Monterrey,alto_alta,"Av. San Jeronimo 1000, San Jeronimo, Monterrey, 64640 NL",big_mac,McDonald's,139.0,,,,,uber_20260508_1425.json,25.67485070767507,-100.3593899743953
2026-05-08 14:46:00,uber,mty_san_jeronimo,Monterrey,alto_alta,"Av. San Jeronimo 1000, San Jeronimo, Monterrey, 64640 NL",boneless_bites,Subway,120.0,,,,,uber_20260508_1425.json,25.67485070767507,-100.3593899743953
